x y z
8.89831 -1.27424 5.18738e-05
9.32203 -1.27424 4.94768e-05
9.74576 -1.27424 4.56973e-05
10.1695 -1.27424 4.05249e-05
10.5932 -1.27424 3.70091e-05
11.0169 -1.27424 3.34686e-05
11.4407 -1.27424 2.6525e-05
11.8644 -1.27424 2.17649e-05
12.2881 -1.27424 1.70652e-05
12.7119 -1.27424 1.40081e-05
13.1356 -1.27424 1.05401e-05
13.5593 -1.27424 7.89931e-06
13.9831 -1.27424 6.39739e-06
14.4068 -1.27424 5.09655e-06
14.8305 -1.27424 4.10707e-06
15.2542 -1.27424 3.21481e-06
15.678 -1.27424 2.59189e-06
16.1017 -1.27424 2.01914e-06
16.5254 -1.27424 1.66338e-06
16.9492 -1.27424 1.35152e-06
17.3729 -1.27424 1.10911e-06
17.7966 -1.27424 9.48817e-07
18.2203 -1.27424 7.5046e-07
18.6441 -1.27424 6.10341e-07
19.0678 -1.27424 5.16052e-07
19.4915 -1.27424 4.14608e-07
19.9153 -1.27424 3.56145e-07
20.339 -1.27424 3.07866e-07
20.7627 -1.27424 2.53027e-07
21.1864 -1.27424 2.12585e-07
21.6102 -1.27424 1.78207e-07
22.0339 -1.27424 1.47979e-07
22.4576 -1.27424 1.26117e-07
22.8814 -1.27424 1.09991e-07
23.3051 -1.27424 1.00494e-07
23.7288 -1.27424 7.97138e-08
24.1525 -1.27424 6.96774e-08
24.5763 -1.27424 5.91754e-08
25 -1.27424 5.39102e-08

0 -1.24915 0
0.423729 -1.24915 2.31594e-07
0.847458 -1.24915 9.68257e-07
1.27119 -1.24915 2.15303e-06
1.69492 -1.24915 3.80599e-06
2.11864 -1.24915 6.30648e-06
2.54237 -1.24915 9.64499e-06
2.9661 -1.24915 1.32262e-05
3.38983 -1.24915 1.86847e-05
3.81356 -1.24915 2.4664e-05
4.23729 -1.24915 3.06035e-05
4.66102 -1.24915 3.65675e-05
5.08475 -1.24915 4.53557e-05
5.50847 -1.24915 5.06154e-05
5.9322 -1.24915 5.48618e-05
6.35593 -1.24915 6.08632e-05
6.77966 -1.24915 6.14592e-05
7.20339 -1.24915 6.54981e-05
7.62712 -1.24915 6.48522e-05
8.05085 -1.24915 6.6032e-05
8.47458 -1.24915 6.46622e-05
8.89831 -1.24915 6.27719e-05
9.32203 -1.24915 6.04686e-05
9.74576 -1.24915 5.57015e-05
10.1695 -1.24915 5.01433e-05
10.5932 -1.24915 4.50066e-05
11.0169 -1.24915 4.02322e-05
11.4407 -1.24915 3.2264e-05
11.8644 -1.24915 2.59436e-05
12.2881 -1.24915 2.07847e-05
12.7119 -1.24915 1.67801e-05
13.1356 -1.24915 1.25572e-05
13.5593 -1.24915 9.80944e-06
13.9831 -1.24915 7.76576e-06
14.4068 -1.24915 6.15695e-06
14.8305 -1.24915 4.97379e-06
15.2542 -1.24915 3.86841e-06
15.678 -1.24915 3.13697e-06
16.1017 -1.24915 2.44679e-06
16.5254 -1.24915 2.03197e-06
16.9492 -1.24915 1.64439e-06
17.3729 -1.24915 1.35463e-06
17.7966 -1.24915 1.14819e-06
18.2203 -1.24915 9.04234e-07
18.6441 -1.24915 7.39656e-07
19.0678 -1.24915 6.20917e-07
19.4915 -1.24915 5.02853e-07
19.9153 -1.24915 4.33769e-07
20.339 -1.24915 3.68468e-07
20.7627 -1.24915 3.04515e-07
21.1864 -1.24915 2.59396e-07
21.6102 -1.24915 2.15953e-07
22.0339 -1.24915 1.81059e-07
22.4576 -1.24915 1.53377e-07
22.8814 -1.24915 1.33797e-07
23.3051 -1.24915 1.21167e-07
23.7288 -1.24915 9.78178e-08
24.1525 -1.24915 8.44475e-08
24.5763 -1.24915 7.1438e-08
25 -1.24915 6.54785e-08

0 -1.22407 0
0.423729 -1.22407 2.81225e-07
0.847458 -1.22407 1.15403e-06
1.27119 -1.22407 2.63681e-06
1.69492 -1.22407 4.7376e-06
2.11864 -1.22407 7.63952e-06
2.54237 -1.22407 1.15842e-05
2.9661 -1.22407 1.60873e-05
3.38983 -1.22407 2.27574e-05
3.81356 -1.22407 3.00786e-05
4.23729 -1.22407 3.71567e-05
4.66102 -1.22407 4.53638e-05
5.08475 -1.22407 5.52622e-05
5.50847 -1.22407 6.19384e-05
5.9322 -1.22407 6.68607e-05
6.35593 -1.22407 7.22237e-05
6.77966 -1.22407 7.47407e-05
7.20339 -1.22407 7.84541e-05
7.62712 -1.22407 7.89139e-05
8.05085 -1.22407 7.98049e-05
8.47458 -1.22407 7.81188e-05
8.89831 -1.22407 7.63214e-05
9.32203 -1.22407 7.35875e-05
9.74576 -1.22407 6.77107e-05
10.1695 -1.22407 6.20871e-05
10.5932 -1.22407 5.46747e-05
11.0169 -1.22407 4.82471e-05
11.4407 -1.22407 3.92431e-05
11.8644 -1.22407 3.11269e-05
12.2881 -1.22407 2.5389e-05
12.7119 -1.22407 2.00828e-05
13.1356 -1.22407 1.49139e-05
13.5593 -1.22407 1.21774e-05
13.9831 -1.22407 9.41632e-06
14.4068 -1.22407 7.42624e-06
14.8305 -1.22407 5.99975e-06
15.2542 -1.22407 4.66124e-06
15.678 -1.22407 3.78734e-06
16.1017 -1.22407 2.98326e-06
16.5254 -1.22407 2.47378e-06
16.9492 -1.22407 2.00028e-06
17.3729 -1.22407 1.64875e-06
17.7966 -1.22407 1.38281e-06
18.2203 -1.22407 1.09262e-06
18.6441 -1.22407 8.98697e-07
19.0678 -1.22407 7.48547e-07
19.4915 -1.22407 6.14269e-07
19.9153 -1.22407 5.16363e-07
20.339 -1.22407 4.41347e-07
20.7627 -1.22407 3.67153e-07
21.1864 -1.22407 3.15867e-07
21.6102 -1.22407 2.61943e-07
22.0339 -1.22407 2.22704e-07
22.4576 -1.22407 1.87883e-07
22.8814 -1.22407 1.62639e-07
23.3051 -1.22407 1.45358e-07
23.7288 -1.22407 1.19031e-07
24.1525 -1.22407 1.02317e-07
24.5763 -1.22407 8.66905e-08
25 -1.22407 7.90655e-08

0 -1.19898 0
0.423729 -1.19898 3.41307e-07
0.847458 -1.19898 1.37933e-06
1.27119 -1.19898 3.22323e-06
1.69492 -1.19898 5.72627e-06
2.11864 -1.19898 9.26059e-06
2.54237 -1.19898 1.39633e-05
2.9661 -1.19898 1.971e-05
3.38983 -1.19898 2.77373e-05
3.81356 -1.19898 3.66605e-05
4.23729 -1.19898 4.54503e-05
4.66102 -1.19898 5.64041e-05
5.08475 -1.19898 6.71404e-05
5.50847 -1.19898 7.5518e-05
5.9322 -1.19898 8.13282e-05
6.35593 -1.19898 8.61229e-05
6.77966 -1.19898 9.11237e-05
7.20339 -1.19898 9.42248e-05
7.62712 -1.19898 9.60551e-05
8.05085 -1.19898 9.63558e-05
8.47458 -1.19898 9.44063e-05
8.89831 -1.19898 9.26522e-05
9.32203 -1.19898 8.92195e-05
9.74576 -1.19898 8.21636e-05
10.1695 -1.19898 7.66304e-05
10.5932 -1.19898 6.64085e-05
11.0169 -1.19898 5.78628e-05
