x y z
0.0857143 0.183673 0.327056
0.114286 0.183673 0.331599
0.142857 0.183673 0.364589
0.171429 0.183673 0.37725
0.2 0.183673 0.315699
0.228571 0.183673 0.32463
0.257143 0.183673 0.366062
0.285714 0.183673 0.349194
0.314286 0.183673 0.340471
0.342857 0.183673 0.366383
0.371429 0.183673 0.386138
0.4 0.183673 0.35954
0.428571 0.183673 0.355685
0.457143 0.183673 0.362811
0.485714 0.183673 0.375097
0.514286 0.183673 0.344114
0.542857 0.183673 0.388392
0.571429 0.183673 0.307304
0.6 0.183673 0.375771
0.628571 0.183673 0.366865
0.657143 0.183673 0.343221
0.685714 0.183673 0.385049
0.714286 0.183673 0.416582
0.742857 0.183673 0.336886
0.771429 0.183673 0.386568
0.8 0.183673 0.377981
0.828571 0.183673 0.359823
0.857143 0.183673 0.396551
0.885714 0.183673 0.378162
0.914286 0.183673 0.352447
0.942857 0.183673 0.390903
0.971429 0.183673 0.318186
1 0.183673 0.332367

0 0.204082 0.318923
0.0285714 0.204082 0.353894
0.0571429 0.204082 0.322029
0.0857143 0.204082 0.360725
0.114286 0.204082 0.354521
0.142857 0.204082 0.355305
0.171429 0.204082 0.335166
0.2 0.204082 0.351585
0.228571 0.204082 0.325616
0.257143 0.204082 0.346559
0.285714 0.204082 0.342464
0.314286 0.204082 0.34339
0.342857 0.204082 0.390451
0.371429 0.204082 0.350684
0.4 0.204082 0.415655
0.428571 0.204082 0.394117
0.457143 0.204082 0.375196
0.485714 0.204082 0.366953
0.514286 0.204082 0.362628
0.542857 0.204082 0.348237
0.571429 0.204082 0.370592
0.6 0.204082 0.374195
0.628571 0.204082 0.329389
0.657143 0.204082 0.35785
0.685714 0.204082 0.381905
0.714286 0.204082 0.355717
0.742857 0.204082 0.405404
0.771429 0.204082 0.394339
0.8 0.204082 0.356017
0.828571 0.204082 0.363685
0.857143 0.204082 0.372975
0.885714 0.204082 0.33951
0.914286 0.204082 0.351692
0.942857 0.204082 0.32351
0.971429 0.204082 0.380121
1 0.204082 0.38311

0 0.22449 0.357681
0.0285714 0.22449 0.3397
0.0571429 0.22449 0.366448
0.0857143 0.22449 0.37902
0.114286 0.22449 0.373701
0.142857 0.22449 0.346255
0.171429 0.22449 0.396302
0.2 0.22449 0.404388
0.228571 0.22449 0.324684
0.257143 0.22449 0.362664
0.285714 0.22449 0.343622
0.314286 0.22449 0.395145
0.342857 0.22449 0.394335
0.371429 0.22449 0.372412
0.4 0.22449 0.404487
0.428571 0.22449 0.344762
0.457143 0.22449 0.37879
0.485714 0.22449 0.400427
0.514286 0.22449 0.336134
0.542857 0.22449 0.40619
0.571429 0.22449 0.398081
0.6 0.22449 0.410983
0.628571 0.22449 0.386562
0.657143 0.22449 0.361773
0.685714 0.22449 0.38411
0.714286 0.22449 0.377458
0.742857 0.22449 0.368901
0.771429 0.22449 0.370728
0.8 0.22449 0.383311
0.828571 0.22449 0.382161
0.857143 0.22449 0.363554
0.885714 0.22449 0.394597
0.914286 0.22449 0.364654
0.942857 0.22449 0.352821
