x y z
0.571429 0.183673 -0.382328
0.6 0.183673 -0.418028
0.628571 0.183673 -0.416431
0.657143 0.183673 -0.36896
0.685714 0.183673 -0.393214
0.714286 0.183673 -0.355288
0.742857 0.183673 -0.405025
0.771429 0.183673 -0.385793
0.8 0.183673 -0.415542
0.828571 0.183673 -0.401432
0.857143 0.183673 -0.377714
0.885714 0.183673 -0.395802
0.914286 0.183673 -0.43025
0.942857 0.183673 -0.399524
0.971429 0.183673 -0.416277
1 0.183673 -0.438136

0 0.204082 -0.41025
0.0285714 0.204082 -0.405936
0.0571429 0.204082 -0.379212
0.0857143 0.204082 -0.394985
0.114286 0.204082 -0.378022
0.142857 0.204082 -0.393027
0.171429 0.204082 -0.396669
0.2 0.204082 -0.415717
0.228571 0.204082 -0.384797
0.257143 0.204082 -0.371723
0.285714 0.204082 -0.36694
0.314286 0.204082 -0.363287
0.342857 0.204082 -0.336535
0.371429 0.204082 -0.413219
0.4 0.204082 -0.341994
0.428571 0.204082 -0.377563
0.457143 0.204082 -0.384657
0.485714 0.204082 -0.398158
0.514286 0.204082 -0.399069
0.542857 0.204082 -0.346536
0.571429 0.204082 -0.365468
0.6 0.204082 -0.380099
0.628571 0.204082 -0.353075
0.657143 0.204082 -0.395178
0.685714 0.204082 -0.386782
0.714286 0.204082 -0.359405
0.742857 0.204082 -0.3441
0.771429 0.204082 -0.399629
0.8 0.204082 -0.367768
0.828571 0.204082 -0.358027
0.857143 0.204082 -0.381888
0.885714 0.204082 -0.403236
0.914286 0.204082 -0.352025
0.942857 0.204082 -0.37339
0.971429 0.204082 -0.350049
1 0.204082 -0.392822

0 0.22449 -0.370076
0.0285714 0.22449 -0.331669
0.0571429 0.22449 -0.365632
0.0857143 0.22449 -0.362924
0.114286 0.22449 -0.325475
0.142857 0.22449 -0.362872
0.171429 0.22449 -0.330811
0.2 0.22449 -0.35782
0.228571 0.22449 -0.360813
0.257143 0.22449 -0.320074
0.285714 0.22449 -0.349739
0.314286 0.22449 -0.345738
0.342857 0.22449 -0.357626
0.371429 0.22449 -0.329593
0.4 0.22449 -0.335584
0.428571 0.22449 -0.37568
0.457143 0.22449 -0.371082
0.485714 0.22449 -0.34916
0.514286 0.22449 -0.357311
0.542857 0.22449 -0.329551
0.571429 0.22449 -0.326913
0.6 0.22449 -0.327335
0.628571 0.22449 -0.353578
0.657143 0.22449 -0.365994
0.685714 0.22449 -0.351696
0.714286 0.22449 -0.346352
0.742857 0.22449 -0.358342
0.771429 0.22449 -0.330272
0.8 0.22449 -0.401304
0.828571 0.22449 -0.362085
0.857143 0.22449 -0.397528
0.885714 0.22449 -0.369819
0.914286 0.22449 -0.333544
0.942857 0.22449 -0.349301
0.971429 0.22449 -0.341404
1 0.22449 -0.365226

0 0.244898 -0.351356
0.0285714 0.244898 -0.297532
0.0571429 0.244898 -0.333428
0.0857143 0.244898 -0.369493
0.114286 0.244898 -0.358989
0.142857 0.244898 -0.345833
0.171429 0.244898 -0.317667
0.2 0.244898 -0.351023
0.228571 0.244898 -0.325439
0.257143 0.244898 -0.337006
0.285714 0.244898 -0.330778
0.314286 0.244898 -0.331922
0.342857 0.244898 -0.292465
0.371429 0.244898 -0.34598
0.4 0.244898 -0.335331
0.428571 0.244898 -0.313436
0.457143 0.244898 -0.336882
0.485714 0.244898 -0.302661
0.514286 0.244898 -0.350251
0.542857 0.244898 -0.329243
0.571429 0.244898 -0.351934
0.6 0.244898 -0.353782
0.628571 0.244898 -0.297422
0.657143 0.244898 -0.346831
0.685714 0.244898 -0.314795
